demographicid,household,entryhouseholdid,demographiccode,relationhhh,individualage,individualgender,individualeducation,individualedlevel,individualenrolled,householdhead,individualunwell,individualdaysunwell,individuallostdays
61500,11355,301,4,2,19,1,SMA,,1,0,0,998,998
61501,11355,301,5,2,17,1,SD,,0,0,0,998,998
61502,11355,301,6,2,15,2,SD,,1,0,0,998,998
61503,11356,283,1,0,45,1,SD,,0,1,0,998,998
61504,11356,283,2,1,42,2,SD,,0,0,0,998,998
61505,11356,283,3,2,4,2,TK,,0,0,0,998,998
61506,11357,311,1,0,24,1,SMA,,0,1,0,998,998
61507,11357,311,2,1,24,2,SMA,,0,0,0,998,998
61508,11357,311,3,2,3,2,998,,0,0,0,998,998
61509,11358,309,1,0,36,1,SD,,0,1,1,3,3
61510,11358,309,2,1,31,2,SD,,0,0,0,998,998
61511,11358,309,3,2,13,2,SD,,1,0,0,998,998
61512,11358,309,4,2,11,1,TK,,1,0,0,998,998
61513,11358,309,5,2,4,1,MENJELANG TK,,1,0,0,998,998
61514,11359,304,1,0,48,1,998,,0,1,0,998,998
61515,11359,304,2,1,38,2,SD,,0,0,0,998,998
61516,11359,304,3,11,21,2,SMA,,0,0,0,998,998
61517,11359,304,4,11,18,1,SD,,0,0,0,998,998
61518,11359,304,5,13,0,1,998,,0,0,0,998,998
61519,11359,304,6,2,21,1,SMA,,0,0,0,998,998
61520,11359,304,7,2,17,2,SD,,1,0,0,998,998
61521,11359,304,8,2,11,1,TK,,1,0,0,998,998
61522,11360,305,1,0,33,1,SMP,,0,1,0,998,998
61523,11360,305,2,1,32,2,SMA,,0,0,0,998,998
61524,11360,305,3,2,14,2,SD,,1,0,0,998,998
61525,11360,305,4,2,12,2,TK,,1,0,0,998,998
61526,11360,305,5,2,11,2,TK,,1,0,0,998,998
61527,11360,305,6,2,7,2,TK,,1,0,0,998,998
61528,11360,305,7,2,0,2,998,,0,0,0,998,998
61529,11361,310,1,0,62,1,SD,,0,1,1,1,1
61530,11361,310,2,1,47,2,SD,,0,0,0,998,998
61531,11361,310,3,12,38,1,SD,,0,0,0,998,998
61532,11361,310,4,2,29,1,SD,,0,0,0,998,998
61533,11361,310,5,4,3,2,998,,0,0,0,998,998
61534,11361,310,6,4,1,1,998,,0,0,0,998,998
61535,11361,310,7,4,11,2,SD,,1,0,0,998,998
61536,11361,310,8,4,8,2,998,,0,0,0,998,998
61537,11361,310,9,4,1,1,998,,0,0,0,998,998
61538,11361,310,10,7,32,2,SD,,0,0,0,998,998
61539,11362,312,1,0,60,1,SD,,0,1,1,10,10
61540,11362,312,2,1,54,2,998,,0,0,0,998,998
61541,11362,312,3,2,35,2,SMA,,0,0,0,998,998
61542,11362,312,4,4,10,1,TK,,1,0,0,998,998
61543,11362,312,5,6,36,1,SMP,,0,0,0,998,998
61544,11363,251,1,0,23,1,SMA,,0,1,1,7,0
61545,11363,251,2,1,22,2,SMA,,0,0,1,7,7
61546,11363,251,3,2,3,1,TK,,1,0,0,998,998
61547,11363,251,4,2,1,2,BELUM SEKOLAH,,0,0,1,3,0
61548,11364,245,1,0,42,1,SMA,,0,1,0,998,998
61549,11364,245,2,1,36,2,SMP,,0,0,0,998,998
61550,11364,245,3,2,16,1,SMP,,1,0,0,998,998
61551,11364,245,4,2,15,1,SMP,,1,0,0,998,998
61552,11364,245,5,2,9,1,TK,,1,0,0,998,998
61553,11364,245,6,2,3,1,998,,0,0,0,998,998
61554,11365,250,1,0,47,1,SMP,,0,1,0,998,998
61555,11365,250,2,1,46,2,SMA,,0,0,0,998,998
61556,11365,250,3,2,29,2,D3,,0,0,0,998,998
61557,11365,250,4,2,17,2,SMP,,1,0,0,998,998
61558,11365,250,5,2,15,1,SMP,,1,0,0,998,998
61559,11365,250,6,6,32,1,S1,,0,0,0,998,998
61560,11366,246,1,0,60,1,SD,,0,1,0,998,998
61561,11366,246,2,1,51,2,SD,,0,0,0,998,998
61562,11367,247,1,0,52,1,SMA,,0,1,0,998,998
61563,11367,247,2,1,49,2,SMA,,0,0,0,998,998
61564,11367,247,3,2,28,1,S1,,0,0,0,998,998
61565,11367,247,4,2,26,1,SMA,,0,0,0,998,998
61566,11367,247,5,2,18,1,SMP,,1,0,0,998,998
61567,11367,247,6,2,11,2,TK,,1,0,0,998,998
61568,11368,248,1,0,27,1,SMA,,0,1,0,998,998
61569,11368,248,2,1,26,2,SMA,,0,0,0,998,998
61570,11368,248,3,2,1,2,BELUM SEKOLAH,,0,0,1,3,3
61571,11369,249,1,0,34,1,SD,,0,1,1,7,7
61572,11369,249,2,1,30,2,SMA,,0,0,0,998,998
61573,11370,252,1,0,32,1,SMA,,0,1,0,998,998
61574,11370,252,2,1,30,2,SMA,,0,0,0,998,998
61575,11370,252,3,2,7,2,TK,,1,0,0,998,998
61576,11370,252,4,2,4,2,TK,,1,0,0,998,998
61577,11370,252,5,2,3,1,TK,,0,0,1,3,3
61578,11370,252,6,2,0,2,BELUM SEKOLAH,,0,0,0,998,998
61579,11371,243,1,0,49,1,SD,,0,1,0,998,998
61580,11371,243,2,1,46,2,SD,,0,0,0,998,998
61581,11371,243,3,2,15,2,SMP,,1,0,0,998,998
61582,11372,244,1,0,70,1,SD,,0,1,0,998,998
61583,11372,244,2,1,65,2,SD,,0,0,0,998,998
61584,11373,119,1,0,65,1,SD,,0,1,1,15,15
61585,11373,119,2,1,55,2,SD,,0,0,0,998,998
61586,11374,125,1,0,33,1,S1,,0,1,0,998,998
61587,11374,125,2,1,31,2,D3,,0,0,0,998,998
61588,11374,125,3,2,4,2,TK,,1,0,0,998,998
61589,11374,125,4,2,2,1,TK,,1,0,0,998,998
61590,11375,127,1,0,40,1,SMA,,0,1,0,998,998
61591,11375,127,2,1,36,2,SMA,,0,0,0,998,998
61592,11375,127,3,2,15,1,SMP,,0,0,0,998,998
61593,11375,127,4,2,9,1,SD,,0,0,0,998,998
61594,11375,127,5,2,8,1,SD,,0,0,0,998,998
61595,11375,127,6,2,3,2,TK,,0,0,0,998,998
61596,11376,123,1,0,48,1,SMP,,0,1,0,998,998
61597,11376,123,2,1,40,2,SMP,,0,0,0,998,998
61598,11376,123,3,2,21,1,SMA,,1,0,0,998,998
61599,11376,123,4,2,18,2,SMA,,1,0,0,998,998
61600,11376,123,5,2,16,2,SMP,,1,0,1,2,0
61601,11377,121,1,0,65,1,SD,,0,1,1,4,0
61602,11377,121,2,1,44,2,SD,,0,0,1,3,0
61603,11377,121,3,2,26,1,S1,,0,0,0,998,998
61604,11377,121,4,2,25,2,S1,,0,0,0,998,998
61605,11377,121,5,2,20,1,SMA,,0,0,1,7,0
61606,11377,121,6,2,17,1,SMP,,1,0,0,998,998
61607,11377,121,7,2,13,1,SD,,1,0,1,4,0
61608,11378,126,1,0,32,1,SMP,,0,1,0,998,998
61609,11378,126,2,1,29,2,SD,,0,0,0,998,998
61610,11378,126,3,2,4,1,TK,,0,0,0,998,998
61611,11378,126,4,2,3,1,TK,,0,0,0,998,998
61612,11379,124,1,0,49,1,SMA,,0,1,0,998,998
61613,11379,124,2,1,31,2,SMA,,0,0,0,998,998
61614,11379,124,3,2,12,1,SD,,1,0,0,998,998
61615,11379,124,4,2,9,1,SD,,1,0,0,998,998
61616,11379,124,5,2,2,2,BELUM SEKOLAH,,0,0,1,3,0
61617,11380,118,1,0,65,2,SD,,0,1,0,998,998
61618,11380,118,2,2,29,2,SD,,0,0,0,998,998
61619,11380,118,3,4,11,1,TK,,1,0,0,998,998
61620,11380,118,4,4,4,1,TK,,1,0,0,998,998
61621,11380,118,5,4,0,1,BELUM SEKOLAH,,0,0,0,998,998
61622,11380,118,6,6,40,1,SMA,,0,0,0,998,998
61623,11381,120,1,0,39,1,SMA,,0,1,0,998,998
61624,11381,120,2,1,30,2,SMA,,0,0,1,1,0
61625,11381,120,3,2,10,1,TK,,1,0,0,998,998
61626,11381,120,4,2,8,1,TK,,1,0,0,998,998
61627,11382,122,1,0,55,1,SMA,,0,1,0,998,998
61628,11382,122,2,1,53,2,SMP,,0,0,1,10,0
61629,11382,122,3,2,27,2,S1,,0,0,0,998,998
61630,11382,122,4,2,22,1,SMA,,1,0,997,998,998
61631,11383,7,1,0,34,1,SMP,,0,1,0,998,998
61632,11383,7,2,1,31,2,998,,0,0,1,3,0
61633,11383,7,3,2,11,1,SD,,1,0,1,4,0
61634,11383,7,4,3,60,1,998,,0,0,1,7,3
61635,11383,7,5,3,55,2,998,,0,0,1,14,14
61636,11384,3,1,0,80,1,SD,,0,1,1,5,5
61637,11385,2,1,0,41,1,998,,0,1,1,8,0
61638,11385,2,2,1,41,2,998,,0,0,1,28,0
61639,11385,2,3,11,19,1,998,,0,0,0,998,998
61640,11385,2,4,11,17,2,998,,0,0,0,998,998
61641,11385,2,5,2,11,1,998,,1,0,1,7,0
61642,11386,5,1,0,49,1,SMA,,0,1,0,998,998
61643,11386,5,2,1,50,2,SMA,,0,0,0,998,998
61644,11386,5,3,2,17,2,SMA,,1,0,0,998,998
61645,11387,10,1,0,28,1,S1,,0,1,0,998,998
61646,11387,10,2,1,23,2,998,,0,0,1,4,0
61647,11387,10,3,13,0,1,-,,0,0,0,998,998
61648,11387,10,4,2,12,1,SD,,1,0,0,998,998
61649,11388,9,1,0,55,1,998,,0,1,1,7,7
61650,11388,9,2,1,50,2,SD,,0,0,1,7,7
61651,11388,9,3,2,21,2,SMA,,0,0,0,998,998
61652,11388,9,4,6,27,2,SMP,,0,0,0,998,998
61653,11388,9,5,6,25,1,SMA,,0,0,1,1,0
61654,11389,8,1,0,63,2,998,,0,1,1,15,15
61655,11389,8,2,6,40,2,SD,,0,0,1,2,0
61656,11389,8,3,6,35,1,998,,0,0,1,3,0
61657,11390,11,1,0,54,1,SMA,,0,1,0,998,998
61658,11390,11,2,1,53,2,SMP,,0,0,1,4,0
61659,11390,11,3,2,11,2,SD,,1,0,0,998,998
61660,11391,4,1,0,44,1,SMP,,0,1,0,998,998
61661,11391,4,2,1,42,2,998,,0,0,0,998,998
61662,11391,4,3,2,4,2,998,,1,0,0,998,998
61663,11392,12,1,0,35,1,998,,0,1,0,998,998
61664,11392,12,2,1,32,2,SD,,0,0,1,4,0
61665,11392,12,3,2,11,1,SD,,1,0,0,998,998
61666,11393,6,1,0,34,1,S1,,0,1,0,998,998
61667,11393,6,2,1,31,2,SMP,,0,0,0,998,998
61668,11393,6,3,2,7,2,TK,,1,0,1,3,3
61669,11394,58,1,0,71,1,998,,0,1,1,20,20
61670,11394,58,2,1,54,2,998,,0,0,1,7,0
61671,11394,58,3,2,33,1,SMP,,0,0,0,998,998
61672,11395,54,1,0,61,1,SD,,0,1,1,3,3
61673,11395,54,2,1,55,2,SD,,0,0,1,7,0
61674,11395,54,3,2,35,1,SD,,0,0,0,998,998
61675,11395,54,4,2,30,1,S1,,0,0,0,998,998
61676,11395,54,5,2,26,1,S1,,0,0,0,998,998
61677,11395,54,6,2,24,1,SMA,,0,0,0,998,998
61678,11396,59,1,0,65,1,SD,,0,1,0,998,998
61679,11396,59,2,1,55,2,SD,,0,0,0,998,998
61680,11396,59,3,2,18,1,SMA,,1,0,0,998,998
61681,11397,49,1,0,63,1,SMP,,0,1,0,998,998
61682,11397,49,2,1,49,2,SMP,,0,0,1,7,0
61683,11397,49,3,2,25,2,S1,,0,0,0,998,998
61684,11397,49,4,2,17,2,SMA,,1,0,0,998,998
61685,11398,1,1,0,73,1,SD,,0,1,1,7,7
61686,11398,1,2,1,68,2,SD,,0,0,1,10,10
61687,11399,28,1,0,40,2,SMA,,0,1,0,998,998
61688,11399,28,2,2,13,1,SMP,,1,0,0,998,998
61689,11399,28,3,2,2,1,998,,0,0,1,4,4
61690,11400,57,1,0,38,1,SD,,0,1,0,998,998
61691,11400,57,2,1,35,2,SD,,0,0,0,998,998
61692,11400,57,3,2,15,2,SMP,,1,0,0,998,998
61693,11400,57,4,2,10,2,TK,,1,0,0,998,998
61694,11400,57,5,2,8,1,TK,,1,0,0,998,998
61695,11401,51,1,0,49,1,SMA,,0,1,0,998,998
61696,11401,51,2,1,45,2,SD,,0,0,0,998,998
61697,11401,51,3,2,27,1,SMA,,0,0,0,998,998
61698,11401,51,4,2,24,2,SMA,,0,0,0,998,998
61699,11401,51,5,2,19,1,SMA,,0,0,0,998,998
61700,11401,51,6,2,12,2,SD,,1,0,0,998,998
61701,11401,51,7,4,4,1,BELUM SEKOLAH,,0,0,0,998,998
61702,11401,51,8,4,2,2,BELUM SEKOLAH,,0,0,0,998,998
61703,11401,51,9,4,4,1,BELUM SEKOLAH,,0,0,0,998,998
61704,11401,51,10,4,0,2,BELUM SEKOLAH,,0,0,0,998,998
61705,11401,51,11,6,25,2,SMP,,0,0,0,998,998
61706,11401,51,12,6,27,1,SD,,0,0,0,998,998
61707,11402,53,1,0,64,2,SD,,0,1,1,7,7
61708,11402,53,2,2,34,2,SMA,,0,0,0,998,998
61709,11402,53,3,2,26,1,SD,,0,0,0,998,998
61710,11402,53,4,4,16,2,SD,,1,0,0,998,998
61711,11402,53,5,4,15,1,SD,,1,0,0,998,998
61712,11402,53,6,4,4,2,TK,,1,0,0,998,998
61713,11402,53,7,4,0,2,BELUM SEKOLAH,,0,0,0,998,998
61714,11402,53,8,6,41,1,SMA,,0,0,0,998,998
61715,11402,53,9,6,21,2,SMA,,0,0,0,998,998
61716,11403,50,1,0,34,1,S1,,0,1,1,5,0
61717,11403,50,2,1,29,2,S1,,0,0,0,998,998
61718,11403,50,3,2,4,2,BELUM SEKOLAH,,0,0,0,998,998
61719,11403,50,4,2,2,2,BELUM SEKOLAH,,0,0,0,998,998
61720,11404,48,1,0,47,1,SMP,,0,1,0,998,998
61721,11404,48,2,1,42,2,SMP,,0,0,0,998,998
61722,11404,48,3,2,19,1,SMA,,1,0,0,998,998
61723,11404,48,4,2,14,1,SMP,,1,0,0,998,998
61724,11404,48,5,2,7,2,SD,,1,0,0,998,998
61725,11405,56,1,0,70,1,SD,,0,1,0,998,998
61726,11405,56,2,1,65,2,SD,,0,0,0,998,998
61727,11405,56,3,2,12,1,SMP,,1,0,0,998,998
61728,11406,55,1,0,55,1,998,,0,1,0,998,998
61729,11406,55,2,1,42,2,SD,,0,0,0,998,998
61730,11406,55,3,2,28,2,SMA,,0,0,0,998,998
61731,11406,55,4,2,21,1,SMP,,0,0,0,998,998
61732,11406,55,5,2,19,1,SMP,,0,0,0,998,998
61733,11406,55,6,2,13,2,SMP,,1,0,0,998,998
61734,11407,52,1,0,61,1,SD,,0,1,0,998,998
61735,11407,52,2,1,59,2,SD,,0,0,1,10,10
61736,11407,52,3,2,34,1,SD,,0,0,0,998,998
61737,11407,52,4,2,31,1,SMP,,0,0,0,998,998
61738,11407,52,5,2,25,1,SMA,,0,0,0,998,998
61739,11408,333,1,0,53,1,SD,,0,1,1,5,5
61740,11408,333,2,1,50,2,SD,,0,0,1,7,3
61741,11408,333,3,2,29,1,SD,,0,0,0,998,998
61742,11408,333,4,2,32,1,SMP,,0,0,0,998,998
61743,11408,333,5,2,26,2,D3,,0,0,0,998,998
61744,11408,333,6,4,2,1,BELUM SEKOLAH,,0,0,0,998,998
61745,11408,333,7,4,0,1,BELUM SEKOLAH,,0,0,0,998,998
61746,11408,333,8,6,28,2,SMP,,0,0,0,998,998
61747,11408,333,9,6,28,1,S1,,0,0,0,998,998
61748,11409,342,1,0,40,2,SD,,0,1,0,998,998
61749,11409,342,2,2,32,1,SMA,,0,0,0,998,998
61750,11409,342,3,2,30,1,SMA,,0,0,0,998,998
61751,11409,342,4,2,10,1,SD,,1,0,0,998,998
61752,11410,341,1,0,62,1,998,,0,1,0,998,998
61753,11410,341,2,1,50,2,998,,0,0,0,998,998
61754,11410,341,3,2,31,1,SMA,,0,0,0,998,998
61755,11410,341,4,2,22,2,SMA,,0,0,0,998,998
61756,11410,341,5,2,20,1,SMA,,0,0,0,998,998
61757,11410,341,6,2,18,1,SMP,,1,0,0,998,998
61758,11410,341,7,2,17,1,SMP,,1,0,0,998,998
61759,11410,341,8,2,15,1,SMP,,1,0,0,998,998
61760,11411,343,1,0,41,1,S1,,0,1,0,998,998
61761,11411,343,2,1,52,2,SMA,,0,0,0,998,998
61762,11411,343,3,2,28,1,S1,,1,0,0,998,998
61763,11411,343,4,2,20,1,SMA,,1,0,0,998,998
61764,11411,343,5,2,11,1,TK,,1,0,0,998,998
61765,11412,334,1,0,28,1,SD,,0,1,0,998,998
61766,11412,334,2,1,27,2,SMA,,0,0,0,998,998
61767,11412,334,3,2,4,2,TK,,1,0,1,4,4
61768,11412,334,4,2,0,1,BELUM SEKOLAH,,0,0,1,10,10
61769,11413,335,1,0,77,1,SEKOLAH RAKYAT (SR),,0,1,1,7,0
61770,11413,335,2,11,22,2,SMA,,0,0,0,998,998
61771,11413,335,3,2,50,1,S1,,0,0,1,4,0
61772,11413,335,4,4,27,1,S1,,1,0,0,998,998
61773,11413,335,5,4,25,2,S1,,0,0,0,998,998
61774,11413,335,6,4,22,2,SMA,,0,0,0,998,998
61775,11413,335,7,4,18,2,SMP,,1,0,0,998,998
61776,11413,335,8,4,15,1,SMP,,1,0,0,998,998
61777,11413,335,9,4,13,2,SD,,1,0,0,998,998
61778,11413,335,10,4,12,2,TK,,1,0,0,998,998
61779,11413,335,11,4,5,2,TK,,1,0,0,998,998
61780,11413,335,12,4,1,2,BELUM SEKOLAH,,0,0,0,998,998
61781,11413,335,13,6,40,2,SMA,,0,0,0,998,998
61782,11414,339,1,0,45,1,SD,,0,1,0,998,998
61783,11414,339,2,1,47,2,SMP,,0,0,0,998,998
61784,11414,339,3,2,17,2,SMP,,1,0,0,998,998
61785,11414,339,4,2,13,2,SD,,1,0,0,998,998
61786,11414,339,5,2,11,1,TK,,1,0,0,998,998
61787,11414,339,6,2,9,2,TK,,1,0,0,998,998
61788,11415,336,1,0,50,1,SMP,,0,1,0,998,998
61789,11415,336,2,1,42,2,SD,,0,0,0,998,998
61790,11415,336,3,2,23,1,S1,,0,0,0,998,998
61791,11415,336,4,2,19,1,SMA,,0,0,0,998,998
61792,11415,336,5,2,18,2,SMP,,1,0,0,998,998
61793,11415,336,6,2,4,2,BELUM SEKOLAH,,0,0,0,998,998
61794,11416,340,1,0,70,1,998,,0,1,0,998,998
61795,11416,340,2,1,65,2,998,,0,0,0,998,998
61796,11416,340,3,2,20,1,SMA,,0,0,0,998,998
61797,11416,340,4,2,18,1,SMP,,0,0,0,998,998
61798,11416,340,5,2,15,1,SMP,,1,0,0,998,998
61799,11417,337,1,0,54,1,SD,,0,1,0,998,998
61800,11417,337,2,1,39,2,SMA,,0,0,0,998,998
61801,11417,337,3,2,21,1,SMA,,0,0,0,998,998
61802,11417,337,4,2,22,1,SMA,,0,0,0,998,998
61803,11417,337,5,2,19,1,SMA,,0,0,0,998,998
61804,11418,31,1,0,67,1,SD,,0,1,0,998,998
61805,11418,31,2,1,57,2,SD,,0,0,1,3,0
61806,11418,31,3,11,41,1,SMA,,0,0,0,998,998
61807,11418,31,4,2,32,1,SMA,,0,0,0,998,998
61808,11418,31,5,2,28,1,SMA,,0,0,0,998,998
61809,11418,31,6,2,26,2,SMA,,0,0,0,998,998
61810,11419,45,1,0,27,1,SMA,,0,1,0,998,998
61811,11419,45,2,1,19,2,SMA,,0,0,0,998,998
61812,11419,45,3,2,0,2,998,,0,0,1,7,0
61813,11420,38,1,0,44,1,SMP,,0,1,0,998,998
61814,11420,38,2,1,42,2,998,,0,0,0,998,998
61815,11420,38,3,2,11,2,SD,,1,0,0,998,998
61816,11420,38,4,6,16,2,SMP,,1,0,0,998,998
61817,11421,40,1,0,65,1,SD,,0,1,0,998,998
61818,11421,40,2,2,30,1,SMP,,0,0,0,998,998
61819,11421,40,3,4,9,1,SD,,1,0,0,998,998
61820,11421,40,4,6,27,2,SMP,,0,0,0,998,998
61821,11422,30,1,0,64,1,SD,,0,1,1,4,0
61822,11422,30,2,1,62,2,SD,,0,0,1,2,0
61823,11422,30,3,11,14,1,998,,1,0,0,998,998
61824,11423,41,1,0,100,2,998,,0,1,1,15,15
61825,11424,36,1,0,52,1,998,,0,1,1,25,25
61826,11424,36,2,1,50,2,998,,0,0,0,998,998
61827,11424,36,3,2,24,2,SMP,,0,0,0,998,998
61828,11424,36,4,2,22,1,SD,,0,0,0,998,998
61829,11424,36,5,2,19,2,SMP,,0,0,0,998,998
61830,11424,36,6,2,11,1,SD,,1,0,0,998,998
61831,11425,46,1,0,62,1,998,,0,1,1,25,25
61832,11425,46,2,1,59,1,998,,0,0,1,25,25
61833,11425,46,3,2,24,2,SMA,,0,0,0,998,998
61834,11425,46,4,2,22,1,SMA,,0,0,0,998,998
61835,11425,46,5,2,19,2,SMA,,0,0,0,998,998
61836,11425,46,6,2,11,1,TK,,1,0,0,998,998
61837,11426,37,1,0,60,2,SD,,0,1,1,7,0
61838,11426,37,2,2,28,1,SMP,,0,0,0,998,998
61839,11427,47,1,0,67,2,998,,0,1,1,25,25
61840,11428,29,1,0,31,1,SD,,0,1,0,998,998
61841,11428,29,2,1,27,2,SMA,,0,0,0,998,998
61842,11428,29,3,2,6,1,TK,,1,0,1,3,0
61843,11428,29,4,2,2,1,998,,0,0,1,1,1
61844,11429,39,1,0,57,1,SD,,0,1,0,998,998
61845,11429,39,2,1,40,2,SD,,0,0,0,998,998
61846,11429,39,3,2,24,1,SMA,,0,0,1,28,28
61847,11429,39,4,2,13,1,SMP,,1,0,0,998,998
61848,11429,39,5,2,12,2,SMP,,1,0,0,998,998
61849,11429,39,6,2,20,1,D2,,1,0,1,1,0
61850,11430,44,1,0,72,2,SD,,0,1,1,3,0
61851,11430,44,2,2,35,2,SMP,,0,0,1,1,0
61852,11430,44,3,2,8,1,SD,,1,0,1,1,0
61853,11431,32,1,0,65,2,SD,,0,1,1,7,0
61854,11431,32,2,2,32,1,SD,,0,0,0,998,998
61855,11432,34,1,0,40,1,998,,0,1,1,1,1
61856,11432,34,2,1,34,2,SMP,,0,0,0,998,998
61857,11432,34,3,2,15,2,SMP,,1,0,0,998,998
61858,11432,34,4,2,9,2,TK,,1,0,0,998,998
61859,11432,34,5,2,4,2,998,,1,0,0,998,998
61860,11433,42,1,0,59,1,SMA,,0,1,0,998,998
61861,11433,42,2,1,58,2,KPG SETARA DENGAN D2,,0,0,0,998,998
61862,11433,42,3,2,22,2,S1,,0,0,0,998,998
61863,11433,42,4,2,17,2,SMA,,1,0,0,998,998
61864,11434,33,1,0,77,1,SR (SEKOLAH RAKYAT),,0,1,1,25,25
61865,11434,33,2,1,74,2,SR,,0,0,1,25,25
61866,11435,43,1,0,45,1,998,,0,1,0,998,998
61867,11435,43,2,2,19,2,998,,0,0,1,1,0
61868,11435,43,3,2,7,2,998,,1,0,1,3,0
61869,11436,35,1,0,26,1,998,,0,1,0,998,998
61870,11436,35,2,1,25,2,998,,0,0,0,998,998
61871,11436,35,3,2,3,1,998,,0,0,0,998,998
61872,11437,372,1,0,60,2,998,,0,1,0,998,998
61873,11437,372,2,7,58,2,998,,0,0,0,998,998
61874,11438,370,1,0,47,1,SD,,0,1,1,7,7
61875,11438,370,2,1,47,2,SD,,0,0,1,2,0
61876,11438,370,3,2,20,2,SMA,,0,0,0,998,998
61877,11438,370,4,2,17,2,SMP,,1,0,0,998,998
61878,11438,370,5,2,15,2,SD,,1,0,0,998,998
61879,11438,370,6,2,23,1,SMP,,0,0,0,998,998
61880,11439,369,1,0,30,1,SD,,0,1,0,998,998
61881,11439,369,2,1,22,2,SMA,,0,0,0,998,998
61882,11439,369,3,2,0,2,998,,0,0,0,998,998
61883,11439,369,4,5,60,2,998,,0,0,1,2,2
61884,11440,373,1,0,58,1,SD,,0,1,0,998,998
61885,11440,373,2,1,52,2,SD,,0,0,0,998,998
61886,11440,373,3,2,30,2,S1,,0,0,0,998,998
