demographicid,household,entryhouseholdid,demographiccode,relationhhh,individualage,individualgender,individualeducation,individualedlevel,individualenrolled,householdhead,individualunwell,individualdaysunwell,individuallostdays
61887,11440,373,4,2,17,2,SMP,,1,0,0,998,998
61888,11440,373,5,2,29,1,S1,,0,0,0,998,998
61889,11440,373,6,2,25,1,S1,,0,0,0,998,998
61890,11440,373,7,2,22,1,SMA,,0,0,0,998,998
61891,11440,373,8,4,2,2,998,,0,0,0,998,998
61892,11440,373,9,4,0,2,998,,0,0,0,998,998
61893,11441,344,1,0,60,1,998,,0,1,0,998,998
61894,11441,344,2,1,54,2,SD,,0,0,0,998,998
61895,11441,344,3,2,26,1,SMP,,0,0,0,998,998
61896,11442,345,1,0,52,1,998,,0,1,0,998,998
61897,11442,345,2,2,19,1,SMA,,0,0,0,998,998
61898,11442,345,3,2,15,2,SMP,,1,0,0,998,998
61899,11442,345,4,2,25,2,SMA,,0,0,0,998,998
61900,11443,347,1,0,35,1,SMP,,0,1,0,998,998
61901,11443,347,2,1,35,2,998,,0,0,0,998,998
61902,11443,347,3,2,10,2,TK,,1,0,0,998,998
61903,11443,347,4,2,5,2,998,,1,0,0,998,998
61904,11443,347,5,2,2,2,998,,0,0,0,998,998
61905,11444,371,1,0,50,1,SD,,0,1,0,998,998
61906,11444,371,2,1,45,2,SD,,0,0,0,998,998
61907,11444,371,3,2,16,2,SMP,,1,0,0,998,998
61908,11444,371,4,2,15,2,SD,,1,0,0,998,998
61909,11444,371,5,2,13,1,SD,,1,0,0,998,998
61910,11444,371,6,2,11,2,TK,,1,0,0,998,998
61911,11444,371,7,2,8,2,TK,,1,0,0,998,998
61912,11444,371,8,2,1,2,998,,0,0,0,998,998
61913,11445,348,1,0,79,1,SD,,0,1,0,998,998
61914,11445,348,2,1,62,2,SD,,0,0,0,998,998
61915,11445,348,3,2,26,1,SMA,,0,0,0,998,998
61916,11445,348,4,2,31,1,SMA,,1,0,0,998,998
61917,11446,346,1,0,45,1,SD,,0,1,0,998,998
61918,11446,346,2,1,39,2,SD,,0,0,0,998,998
61919,11446,346,3,2,17,1,SMP,,1,0,0,998,998
61920,11446,346,4,2,15,1,SMP,,1,0,0,998,998
61921,11446,346,5,2,13,2,SD,,1,0,0,998,998
61922,11446,346,6,2,8,2,TK,,1,0,0,998,998
61923,11447,218,1,0,80,1,SR (SEKOLAH RAKYAT),,0,1,1,15,15
61924,11447,218,2,1,60,2,998,,0,0,1,15,0
61925,11447,218,3,2,39,2,S1,,0,0,0,998,998
61926,11447,218,4,4,4,2,TK,,1,0,1,2,2
61927,11447,218,5,6,39,1,S1,,0,0,0,998,998
61928,11448,231,1,0,45,1,SMA,,0,1,0,998,998
61929,11448,231,2,1,46,2,SMA,,0,0,0,998,998
61930,11448,231,3,2,17,1,SMA,,0,0,0,998,998
61931,11448,231,4,2,10,2,TK,,1,0,0,998,998
61932,11449,217,1,0,62,1,SD,,0,1,0,998,998
61933,11449,217,2,1,47,2,SMP,,0,0,0,998,998
61934,11449,217,3,2,27,2,S1,,0,0,0,998,998
61935,11449,217,4,2,26,2,SMA,,0,0,0,998,998
61936,11449,217,5,2,16,1,SMP,,1,0,0,998,998
61937,11449,217,6,6,40,1,S1,,0,0,0,998,998
61938,11449,217,7,6,27,1,SMA,,0,0,0,998,998
61939,11450,223,1,0,66,1,SD,,0,1,1,3,0
61940,11450,223,2,1,55,2,998,,0,0,1,7,0
61941,11451,237,1,0,46,1,SD,,0,1,0,998,998
61942,11451,237,2,1,46,2,SMA,,0,0,0,998,998
61943,11451,237,3,2,24,2,S1,,0,0,0,998,998
61944,11451,237,4,2,20,1,SMA,,0,0,0,998,998
61945,11451,237,5,2,16,2,SMP,,0,0,0,998,998
61946,11452,236,1,0,80,2,TIDAK SEKOLAH,,0,1,1,15,15
61947,11452,236,2,2,35,2,SMP,,0,0,0,998,998
61948,11453,227,1,0,36,1,SMA,,0,1,0,998,998
61949,11453,227,2,1,43,2,S1,,0,0,0,998,998
61950,11453,227,3,2,17,2,SMP,,1,0,0,998,998
61951,11453,227,4,2,13,2,SD,,1,0,0,998,998
61952,11453,227,5,2,10,1,TK,,1,0,0,998,998
61953,11453,227,6,2,4,2,TK,,1,0,0,998,998
61954,11454,233,1,0,45,1,SMP,,0,1,0,998,998
61955,11454,233,2,1,33,2,SMA,,0,0,0,998,998
61956,11454,233,3,2,24,2,S1,,0,0,0,998,998
61957,11454,233,4,2,22,1,SMA,,0,0,0,998,998
61958,11454,233,5,2,11,2,TK,,1,0,0,998,998
61959,11454,233,6,2,8,1,TK,,1,0,0,998,998
61960,11454,233,7,2,5,2,998,,0,0,0,998,998
61961,11454,233,8,2,2,1,998,,0,0,0,998,998
61962,11455,230,1,0,38,1,SD,,0,1,0,998,998
61963,11455,230,2,1,30,2,SD,,0,0,0,998,998
61964,11455,230,3,2,18,1,SMA,,0,0,0,998,998
61965,11455,230,4,2,14,1,SD,,1,0,0,998,998
61966,11455,230,5,2,0,2,998,,0,0,0,998,998
61967,11456,229,1,0,40,1,SMA,,0,1,0,998,998
61968,11456,229,2,1,37,2,SMP,,0,0,0,998,998
61969,11456,229,3,2,19,1,SMA,,1,0,0,998,998
61970,11456,229,4,2,16,2,SMP,,1,0,0,998,998
61971,11457,232,1,0,53,1,SMA,,0,1,0,998,998
61972,11457,232,2,1,45,2,SMP,,0,0,0,998,998
61973,11457,232,3,2,26,1,S1,,0,0,0,998,998
61974,11457,232,4,2,20,1,SMA,,1,0,0,998,998
61975,11458,228,1,0,67,1,998,,0,1,0,998,998
61976,11458,228,2,1,45,2,998,,0,0,0,998,998
61977,11459,224,1,0,54,1,S1,,0,1,0,998,998
61978,11459,224,2,1,50,2,SMA,,0,0,0,998,998
61979,11459,224,3,2,28,1,S1,,0,0,0,998,998
61980,11459,224,4,2,25,1,SMA,,1,0,0,998,998
61981,11459,224,5,2,21,1,SMA,,1,0,0,998,998
61982,11460,219,1,0,45,1,SD,,0,1,1,3,0
61983,11460,219,2,2,18,1,SMP,,1,0,0,998,998
61984,11461,225,1,0,50,1,SD,,0,1,0,998,998
61985,11461,225,2,1,50,2,SD,,0,0,0,998,998
61986,11461,225,3,2,14,2,SMP,,1,0,0,998,998
61987,11462,338,1,0,48,1,SMA,,0,1,0,998,998
61988,11462,338,2,1,32,2,SMP,,0,0,0,998,998
61989,11462,338,3,2,16,1,SMP,,0,0,0,998,998
61990,11463,226,1,0,48,1,S1,,0,1,0,998,998
61991,11463,226,2,1,47,2,D3,,0,0,0,998,998
61992,11463,226,3,2,30,2,D3,,0,0,0,998,998
61993,11463,226,4,4,5,2,998,,1,0,0,998,998
61994,11463,226,5,6,30,1,D3,,0,0,0,998,998
61995,11464,222,1,0,54,1,SD,,0,1,0,998,998
61996,11464,222,2,1,50,2,SD,,0,0,0,998,998
61997,11464,222,3,2,31,1,S1,,0,0,0,998,998
61998,11464,222,4,2,27,1,S1,,0,0,0,998,998
61999,11464,222,5,2,22,1,SMA,,1,0,0,998,998
62000,11464,222,6,2,19,1,SMA,,1,0,0,998,998
62001,11464,222,7,4,1,2,998,,0,0,0,998,998
62002,11464,222,8,6,27,2,D3,,0,0,0,998,998
62003,11465,220,1,0,50,1,998,,0,1,1,3,3
62004,11465,220,2,1,45,2,SD,,0,0,0,998,998
62005,11465,220,3,2,13,2,SD,,1,0,0,998,998
62006,11466,221,1,0,56,1,S1,,0,1,0,998,998
62007,11466,221,2,1,40,2,SMA,,0,0,0,998,998
62008,11466,221,3,2,21,2,SMA,,0,0,0,998,998
62009,11466,221,4,2,22,2,SMA,,0,0,0,998,998
62010,11466,221,5,2,9,2,SD,,0,0,0,998,998
62011,11467,235,1,0,70,1,SD,,0,1,1,15,0
62012,11467,235,2,1,65,2,SD,,0,0,1,15,0
62013,11467,235,3,2,30,1,S1,,0,0,0,998,998
62014,11468,234,1,0,55,2,SD,,0,1,1,15,0
62015,11468,234,2,2,19,2,SMA,,1,0,1,7,0
62016,11468,234,3,2,17,1,SMP,,1,0,1,3,0
62017,11469,265,1,0,75,1,998,,0,1,0,998,998
62018,11469,265,2,1,65,2,998,,0,0,0,998,998
62019,11470,261,1,0,58,1,SMP,,0,1,0,998,998
62020,11470,261,2,1,62,2,SD,,0,0,0,998,998
62021,11470,261,3,13,0,1,998,,0,0,998,998,998
62022,11470,261,4,2,23,2,S1,,0,0,0,998,998
62023,11471,262,1,0,35,1,SMP,,0,1,0,998,998
62024,11471,262,2,1,30,2,SD,,0,0,0,998,998
62025,11471,262,3,2,13,1,SD,,1,0,0,998,998
62026,11471,262,4,2,5,2,TK,,1,0,0,998,998
62027,11472,267,1,0,24,2,SMA,,0,1,0,998,998
62028,11472,267,2,2,3,2,998,,0,0,0,998,998
62029,11472,267,3,5,53,1,998,,0,0,0,998,998
62030,11472,267,4,5,50,2,998,,0,0,0,998,998
62031,11473,264,1,0,37,1,SMP,,0,1,0,998,998
62032,11473,264,2,1,38,2,SMA,,0,0,0,998,998
62033,11473,264,3,2,14,1,SD,,1,0,0,998,998
62034,11473,264,4,2,7,2,TK,,1,0,0,998,998
62035,11473,264,5,2,5,2,TK,,0,0,0,998,998
62036,11473,264,6,2,3,2,TK,,1,0,0,998,998
62037,11474,263,1,0,66,1,TIDAK SEKOLAH,,0,1,1,15,15
62038,11474,263,2,1,56,2,SD,,0,0,1,15,0
62039,11474,263,3,2,29,1,S1,,0,0,0,998,998
62040,11474,263,4,2,25,2,S1,,0,0,0,998,998
62041,11474,263,5,2,20,2,SMA,,0,0,0,998,998
62042,11475,266,1,0,60,2,998,,0,1,1,3,3
62043,11475,266,2,4,30,2,SMA,,0,0,0,998,998
62044,11476,258,1,0,52,1,SMP,,0,1,0,998,998
62045,11476,258,2,2,23,1,SMA,,0,0,0,998,998
62046,11476,258,3,2,20,2,SMA,,1,0,0,998,998
62047,11476,258,4,2,16,2,SD,,1,0,0,998,998
62048,11477,260,1,0,36,1,SD,,0,1,0,998,998
62049,11477,260,2,1,34,2,SMA,,0,0,0,998,998
62050,11477,260,3,2,14,2,SD,,1,0,1,1,0
62051,11477,260,4,2,10,1,TK,,1,0,0,998,998
62052,11477,260,5,2,5,1,998,,1,0,0,998,998
62053,11478,259,1,0,70,1,SD,,0,1,1,2,1
62054,11479,24,1,0,52,1,SD,,0,1,0,998,998
62055,11479,24,2,1,50,2,SD,,0,0,0,998,998
62056,11479,24,3,2,20,1,SMP,,0,0,0,998,998
62057,11480,26,1,0,31,1,SD,,0,1,1,4,0
62058,11480,26,2,1,30,2,SD,,0,0,1,2,0
62059,11480,26,3,2,2,1,BELUM SEKOLAH,,0,0,1,7,0
62060,11481,15,1,0,32,1,SD,,0,1,1,10,10
62061,11481,15,2,1,31,2,SD,,0,0,0,998,998
62062,11481,15,3,2,10,1,SD,,1,0,0,998,998
62063,11482,25,1,0,60,2,SD,,0,1,0,998,998
62064,11483,13,1,0,90,2,998,,0,1,1,2,2
62065,11483,13,2,2,43,2,SD,,0,0,0,998,998
62066,11483,13,3,4,13,2,SMP,,1,0,0,998,998
62067,11484,16,1,0,20,1,SMA,,0,1,0,998,998
62068,11484,16,2,1,19,2,998,,0,0,0,998,998
62069,11485,23,1,0,48,1,SMP,,0,1,1,20,10
62070,11485,23,2,1,36,2,SD,,0,0,1,7,0
62071,11485,23,3,2,6,1,SD,,1,0,0,998,998
62072,11485,23,4,2,5,2,TK,,1,0,0,998,998
62073,11485,23,5,2,1,2,998,,0,0,1,4,4
62074,11486,22,1,0,31,1,SD,,0,1,0,998,998
62075,11486,22,2,1,25,2,SMP,,0,0,0,998,998
62076,11486,22,3,2,7,2,SD,,1,0,0,998,998
62077,11486,22,4,2,4,1,998,,0,0,0,998,998
62078,11487,21,1,0,65,2,SD,,0,1,0,998,998
62079,11488,19,1,0,42,1,SD,,0,1,1,4,0
62080,11489,14,1,0,40,1,998,,0,1,0,998,998
62081,11489,14,2,1,37,2,SD,,0,0,0,998,998
62082,11489,14,3,2,17,1,SMA,,1,0,1,1,1
62083,11489,14,4,2,11,1,SD,,1,0,0,998,998
62084,11490,20,1,0,40,1,SD,,0,1,0,998,998
62085,11491,27,1,0,43,1,SD,,0,1,0,998,998
62086,11491,27,2,1,32,2,TK,,0,0,0,998,998
62087,11491,27,3,2,20,2,SMA,,1,0,0,998,998
62088,11491,27,4,2,18,1,SMP,,1,0,0,998,998
62089,11491,27,5,2,15,2,SD,,1,0,0,998,998
62090,11491,27,6,2,10,1,TK,,1,0,0,998,998
62091,11492,17,1,0,26,1,S1,,0,1,0,998,998
62092,11492,17,2,1,20,2,SMA,,0,0,0,998,998
62093,11492,17,3,2,0,2,998,,0,0,0,998,998
62094,11493,238,1,0,61,1,998,,0,1,0,998,998
62095,11493,238,2,1,49,2,998,,0,0,0,998,998
62096,11493,238,3,2,34,1,SMP,,0,0,0,998,998
62097,11494,242,1,0,47,1,S1,,0,1,0,998,998
62098,11494,242,2,1,42,2,SMA,,0,0,0,998,998
62099,11494,242,3,13,0,2,998,,0,0,0,998,998
62100,11494,242,4,2,19,2,D1,,0,0,0,998,998
62101,11494,242,5,2,16,2,SMP,,1,0,0,998,998
62102,11494,242,6,2,11,2,TK,,1,0,0,998,998
62103,11494,242,7,2,6,2,TK,,1,0,0,998,998
62104,11495,253,1,0,69,1,S1,,0,1,0,998,998
62105,11495,253,2,1,53,2,SMP,,0,0,1,10,7
62106,11495,253,3,2,29,1,S1,,0,0,0,998,998
62107,11495,253,4,2,18,1,SMP,,1,0,0,998,998
62108,11496,240,1,0,32,1,SMP,,0,1,0,998,998
62109,11496,240,2,1,29,2,SD,,0,0,0,998,998
62110,11496,240,3,2,7,1,TK,,1,0,1,25,25
62111,11496,240,4,2,4,2,998,,1,0,0,998,998
62112,11496,240,5,2,6,1,998,,0,0,0,998,998
62113,11497,255,1,0,34,2,S1,,0,1,0,998,998
62114,11497,255,2,4,5,1,TK,,0,0,0,998,998
62115,11497,255,3,6,27,2,SMA,,0,0,0,998,998
62116,11498,257,1,0,37,1,SD,,0,1,0,998,998
62117,11498,257,2,1,35,2,998,,0,0,0,998,998
62118,11498,257,3,2,14,1,SD,,1,0,0,998,998
62119,11498,257,4,2,13,2,SD,,0,0,0,998,998
62120,11499,239,1,0,42,1,SD,,0,1,0,998,998
62121,11499,239,2,1,40,2,SMP,,0,0,0,998,998
62122,11499,239,3,13,0,2,998,,0,0,0,998,998
62123,11499,239,4,2,7,2,TK,,1,0,0,998,998
62124,11500,254,1,0,60,1,SD,,0,1,0,998,998
62125,11500,254,2,1,56,2,SMP,,0,0,1,2,0
62126,11500,254,3,2,19,1,SMA,,1,0,0,998,998
62127,11501,256,1,0,53,1,SMA,,0,1,0,998,998
62128,11501,256,2,1,43,2,SMP,,0,0,0,998,998
62129,11501,256,3,2,23,2,SMA,,1,0,0,998,998
62130,11501,256,4,2,21,2,SMA,,1,0,0,998,998
62131,11501,256,5,2,14,1,SD,,1,0,0,998,998
62132,11502,241,1,0,55,1,SMA,,0,1,0,998,998
62133,11502,241,2,1,44,2,SMP,,0,0,0,998,998
62134,11502,241,3,2,20,2,SMA,,1,0,0,998,998
62135,11503,112,1,0,75,2,998,,0,1,1,10,10
62136,11503,112,2,2,37,1,998,,0,0,0,998,998
62137,11504,129,1,0,25,1,998,,0,1,1,3,3
62138,11504,129,2,1,26,2,998,,0,0,0,998,998
62139,11504,129,3,2,10,1,TK,,1,0,0,998,998
62140,11504,129,4,2,8,1,998,,0,0,0,998,998
62141,11505,113,1,0,36,1,998,,0,1,0,998,998
62142,11505,113,2,1,25,2,998,,0,0,1,3,0
62143,11505,113,3,2,20,1,998,,0,0,1,7,7
62144,11505,113,4,2,16,1,SD,,0,0,0,998,998
62145,11505,113,5,2,12,2,SD,,1,0,1,7,7
62146,11505,113,6,2,6,1,998,,0,0,1,10,10
62147,11505,113,7,2,4,2,998,,0,0,0,998,998
62148,11506,136,1,0,30,1,998,,0,1,0,998,998
62149,11506,136,2,1,30,2,SD,,0,0,0,998,998
62150,11506,136,3,2,17,1,SMA,,1,0,0,998,998
62151,11506,136,4,2,15,2,SMP,,1,0,1,2,0
62152,11506,136,5,2,13,1,SD,,1,0,0,998,998
62153,11506,136,6,2,11,2,TK,,1,0,0,998,998
62154,11506,136,7,2,7,2,TK,,1,0,1,15,0
62155,11507,134,1,0,30,1,998,,0,1,1,15,0
62156,11507,134,2,1,29,2,998,,0,0,1,20,20
62157,11507,134,3,2,9,2,TK,,1,0,0,998,998
62158,11507,134,4,2,7,1,998,,0,0,0,998,998
62159,11507,134,5,2,3,2,998,,0,0,0,998,998
62160,11508,110,1,0,79,1,998,,0,1,1,3,0
62161,11509,128,1,0,25,1,SD,,0,1,1,1,1
62162,11509,128,2,2,8,1,TK,,1,0,998,998,998
62163,11510,114,1,0,30,1,998,,0,1,0,998,998
62164,11510,114,2,1,29,2,998,,0,0,0,998,998
62165,11510,114,3,13,0,1,998,,0,0,998,998,998
62166,11510,114,4,2,13,1,998,,0,0,0,998,998
62167,11510,114,5,2,9,1,998,,0,0,0,998,998
62168,11511,116,1,0,23,1,SD,,0,1,0,998,998
62169,11511,116,2,1,26,2,998,,0,0,0,998,998
62170,11511,116,3,11,13,1,SD,,1,0,1,4,2
62171,11511,116,4,2,9,2,998,,1,0,0,998,998
62172,11512,135,1,0,37,1,998,,0,1,0,998,998
62173,11512,135,2,1,30,2,998,,0,0,0,998,998
62174,11512,135,3,2,17,2,SMP,,1,0,0,998,998
62175,11512,135,4,2,14,2,SD,,1,0,0,998,998
62176,11512,135,5,2,7,1,TK,,0,0,1,5,5
62177,11513,133,1,0,35,1,SD,,0,1,1,4,0
62178,11513,133,2,1,18,2,SD,,0,0,0,998,998
62179,11513,133,3,2,8,1,998,,0,0,0,998,998
62180,11513,133,4,2,2,1,998,,0,0,0,998,998
62181,11514,109,1,0,65,2,998,,0,1,1,3,3
62182,11514,109,2,2,30,1,SD,,0,0,1,2,2
62183,11515,115,1,0,43,1,SMA,,0,1,0,998,998
62184,11515,115,2,1,42,2,SD,,0,0,0,998,998
62185,11515,115,3,2,11,1,998,,1,0,0,998,998
62186,11515,115,4,2,9,1,998,,1,0,0,998,998
62187,11516,137,1,0,52,1,SMA,,0,1,1,3,3
62188,11516,137,2,1,42,2,SD,,0,0,1,6,6
62189,11516,137,3,2,29,1,S1,,0,0,0,998,998
62190,11516,137,4,2,11,2,SD,,1,0,0,998,998
62191,11517,117,1,0,33,1,998,,0,1,1,2,2
62192,11517,117,2,1,30,2,998,,0,0,1,1,1
62193,11517,117,3,2,15,1,SD,,1,0,1,2,0
62194,11518,130,1,0,38,1,998,,0,1,0,998,998
62195,11518,130,2,1,38,2,998,,0,0,0,998,998
62196,11518,130,3,2,16,1,SD,,1,0,0,998,998
62197,11518,130,4,2,14,1,TK,,0,0,0,998,998
62198,11518,130,5,2,4,1,998,,0,0,1,4,0
62199,11519,131,1,0,31,1,998,,0,1,0,998,998
62200,11519,131,2,1,29,2,TK,,0,0,0,998,998
62201,11519,131,3,13,0,1,TIDAK ADA,,0,0,998,998,998
62202,11519,131,4,2,8,1,TK,,0,0,0,998,998
62203,11519,131,5,2,6,2,998,,0,0,0,998,998
62204,11519,131,6,2,3,1,998,,0,0,0,998,998
62205,11520,111,1,0,45,1,998,,0,1,1,3,3
62206,11520,111,2,1,37,2,998,,0,0,1,3,3
62207,11520,111,3,2,19,2,SD,,0,0,0,998,998
62208,11520,111,4,2,17,2,SD,,1,0,1,6,0
62209,11520,111,5,2,13,2,TK,,1,0,0,998,998
62210,11521,132,1,0,35,1,S2,,0,1,0,998,998
62211,11521,132,2,1,34,2,S2,,0,0,1,7,0
62212,11522,324,1,0,73,1,SD,,0,1,0,998,998
62213,11522,324,2,1,65,2,998,,0,0,0,998,998
62214,11522,324,3,2,35,1,998,,0,0,0,998,998
62215,11523,329,1,0,37,1,SMP,,0,1,0,998,998
62216,11523,329,2,1,34,2,SMP,,0,0,0,998,998
62217,11523,329,3,2,15,2,SD,,0,0,0,998,998
62218,11523,329,4,2,12,1,SD,,0,0,0,998,998
62219,11524,325,1,0,43,1,SD,,0,1,0,998,998
62220,11524,325,2,2,40,2,SD,,0,0,0,998,998
62221,11524,325,3,2,19,1,SD,,0,0,0,998,998
62222,11524,325,4,2,17,2,SMP,,1,0,0,998,998
62223,11524,325,5,2,13,2,SD,,1,0,0,998,998
62224,11525,331,1,0,43,1,SD,,0,1,0,998,998
62225,11525,331,2,1,42,2,SD,,0,0,1,7,7
62226,11525,331,3,10,13,1,SD,,1,0,0,998,998
62227,11525,331,4,13,0,1,998,,0,0,0,998,998
62228,11525,331,5,2,17,2,SMP,,1,0,0,998,998
62229,11525,331,6,2,13,2,SD,,1,0,0,998,998
62230,11525,331,7,2,10,2,SD,,1,0,0,998,998
62231,11525,331,8,2,8,1,TK,,1,0,0,998,998
62232,11526,328,1,0,50,1,SD,,0,1,0,998,998
62233,11526,328,2,1,58,2,SD,,0,0,0,998,998
62234,11526,328,3,5,69,2,998,,0,0,0,998,998
62235,11527,332,1,0,65,1,SD,,0,1,1,7,7
62236,11527,332,2,4,10,1,TK,,1,0,0,998,998
62237,11528,330,1,0,46,1,SMP,,0,1,0,998,998
62238,11528,330,2,1,44,2,SD,,0,0,0,998,998
62239,11528,330,3,2,25,2,SMP,,0,0,0,998,998
62240,11528,330,4,2,22,1,SMA,,0,0,0,998,998
62241,11528,330,5,2,13,2,SD,,1,0,0,998,998
62242,11529,322,1,0,80,2,SD,,0,1,0,998,998
62243,11530,320,1,0,51,2,SMA,,0,1,0,998,998
62244,11530,320,2,2,18,2,SMA,,1,0,0,998,998
62245,11530,320,3,2,15,2,SMP,,1,0,0,998,998
62246,11531,326,1,0,60,1,SMA,,0,1,0,998,998
62247,11531,326,2,1,50,2,SMP,,0,0,1,5,0
62248,11531,326,3,2,30,1,S1,,0,0,0,998,998
62249,11531,326,4,2,25,2,D3,,0,0,0,998,998
62250,11532,323,1,0,73,2,998,,0,1,1,25,25
62251,11532,323,2,11,25,1,SMA,,1,0,0,998,998
62252,11533,321,1,0,52,1,SMP,,0,1,0,998,998
62253,11533,321,2,1,41,2,SMP,,0,0,0,998,998
62254,11533,321,3,2,21,2,SMA,,1,0,0,998,998
62255,11533,321,4,2,18,1,SMA,,1,0,0,998,998
62256,11533,321,5,2,16,2,SMP,,1,0,0,998,998
62257,11533,321,6,2,13,2,TK,,1,0,0,998,998
62258,11533,321,7,2,12,1,TK,,1,0,0,998,998
62259,11533,321,8,2,4,2,998,,0,0,0,998,998
62260,11534,318,1,0,52,1,SMP,,0,1,0,998,998
62261,11534,318,2,1,34,2,SD,,0,0,0,998,998
62262,11534,318,3,2,19,1,SMA,,1,0,0,998,998
62263,11534,318,4,2,15,2,SMP,,1,0,0,998,998
62264,11534,318,5,2,7,1,TK,,1,0,0,998,998
62265,11535,319,1,0,43,1,SMP,,0,1,0,998,998
62266,11535,319,2,1,39,2,SMP,,0,0,0,998,998
62267,11535,319,3,2,13,1,SD,,1,0,0,998,998
62268,11535,319,4,2,11,1,TK,,1,0,0,998,998
62269,11535,319,5,2,9,2,TK,,1,0,0,998,998
62270,11536,327,1,0,36,2,SMP,,0,1,0,998,998
62271,11536,327,2,4,14,1,SD,,1,0,0,998,998
62272,11536,327,3,4,10,1,TK,,1,0,0,998,998
62273,11536,327,4,4,9,1,TK,,1,0,0,998,998
62274,11536,327,5,5,60,2,998,,0,0,0,998,998
