code,bahasaindonesia,english,consolidatedfishtechcategory_id,updated_by_id
1,"Alat pancing (pancing ulur, benjoran, huhate, pancing gurita, pancing cumi)","Hand line (fishing line, ""benjoran"", ""huhate"", octopus fishing line, squid fishing line)",,
2,Pancing rawai,Stationary line,,
3,Pancing tonda,Mobile line,,
4,Alat Pengumpul,Gleaning,,
5,"Alat penjepit dan melukai (tombak, panah)",Grapping and wounding (speargun),,
6,Alat yang dijatuhkan (jala tebar),Falling gear and cast gear (cast net),,
7,"Jaring insang (jaring insang tetap, jaring insang berpancang, jaring insang hanyut)",Stationary gillnet (set or fixed),,
8,Jaring tiga lapis,Trammel net,,
9,"Jaring insang lingkar, jaring klitik",Mobile gillnet (encircling/mobile),,
10,"Perangkap (jermal, bubu)","Traps (stow net, portable trap)",,
11,Sero,Fences (or guiding barrier),,
12,Jaring angkat (bagan tancap),Lifting nets (stationary lift net),,
13,Penggaruk dengan perahu,Mobile dredges,,
14,"Pukat tarik (trawl udang, trawl ikan, payang, dogol, lampara, cantrang)","Trawl (shrimp trawl, etc.)",,
15,Pukat cincin,Purse seine,,
16,"Bom/peledak, racun/potasium","Explosive, poison",,
993,"Pertanyaan tidak diminta (tidak ada skip logic)
Pertanyaan tidak diminta
Pertanyaan tidak diminta",Question not asked (no skip logic),,
994,SKIP,Skipped question,,
995,**Tidak ada data**,No data,,
996,Lainnya,Other,,
997,Tidak Tahu,Do Not Know,,
998,Tidak Sesuai,Not Applicable,,
999,Menolak,Refused,,