code,bahasaindonesia,english,updated_by_id
1,Bertani,Farming,
2,Mengambil,Harvesting forest products,
3,Melaut,Fishing,
4,Melakukan budidaya perikanan,Aquaculture,
5,Mengekstraksi sumberdaya laut tak terbarukan,Extraction of non-renewable marine resources,
6,Pariswata laut,Marine tourism,
7,Pekerjaan yang menghasilkan upah lainnya,Other wage labour,
993,"Pertanyaan tidak diminta (tidak ada skip logic)
Pertanyaan tidak diminta
Pertanyaan tidak diminta",Question not asked (no skip logic),
994,SKIP,Skipped question,
995,**Tidak ada data**,No data,
996,Lainnya,Other,
997,Tidak Tahu,Do Not Know,
998,Tidak Sesuai,Not Applicable,
999,Menolak,Refused,